試合ID,ラリー番号,ショット順,打った選手,打点,着地,ショット,結果,レシーバー
2025-03-27_①_吉田陸_久永亜美_もりようすけ_高橋ふみや,1.0,1.0,吉田陸,RM,LM,ショートリターン,続行,
2025-03-27_①_吉田陸_久永亜美_もりようすけ_高橋ふみや,1.0,2.0,吉田陸,RF,LM,ショートリターン,ミス,
2025-03-27_①_吉田陸_久永亜美_もりようすけ_高橋ふみや,1.0,3.0,吉田陸,LM,LM,ドライブ,続行,
2025-03-27_①_吉田陸_久永亜美_もりようすけ_高橋ふみや,1.0,4.0,吉田陸,RM,LM,ショートリターン,続行,
2025-03-27_①_吉田陸_久永亜美_もりようすけ_高橋ふみや,1.0,5.0,吉田陸,RM,LR,ロングリターン,続行,
2025-03-27_①_吉田陸_久永亜美_もりようすけ_高橋ふみや,1.0,6.0,吉田陸,RF,LF,ショートリターン,続行,
2025-03-27_①_吉田陸_久永亜美_もりようすけ_高橋ふみや,1.0,7.0,吉田陸,RF,CR,ドライブ,得点,
2025-03-27_①_吉田陸_久永亜美_もりようすけ_高橋ふみや,1.0,8.0,吉田陸,RM,CM,スマッシュ,得点,
2025-03-27_①_吉田陸_久永亜美_もりようすけ_高橋ふみや,1.0,9.0,吉田陸,LM,RF,ショートリターン,ミス,
2025-03-27_①_吉田陸_久永亜美_もりようすけ_高橋ふみや,1.0,10.0,吉田陸,CF,CR,ドライブ,続行,
2025-03-27_①_吉田陸_久永亜美_もりようすけ_高橋ふみや,1.0,11.0,吉田陸,RR,LM,スマッシュ,続行,
2025-03-27_①_吉田陸_久永亜美_もりようすけ_高橋ふみや,1.0,12.0,吉田陸,RR,LR,ロブ,続行,
2025-03-27_①_吉田陸_久永亜美_もりようすけ_高橋ふみや,1.0,13.0,吉田陸,LR,RR,クリア,続行,
2025-03-27_①_吉田陸_久永亜美_もりようすけ_高橋ふみや,1.0,14.0,吉田陸,LM,RM,スマッシュ,得点,
2025-03-27_①_吉田陸_久永亜美_もりようすけ_高橋ふみや,1.0,15.0,吉田陸,LM,RF,ショートリターン,続行,
2025-03-27_①_吉田陸_久永亜美_もりようすけ_高橋ふみや,1.0,16.0,吉田陸,LM,RF,ショートリターン,続行,
2025-03-27_①_吉田陸_久永亜美_もりようすけ_高橋ふみや,1.0,17.0,吉田陸,LM,RF,ショートリターン,続行,
2025-03-27_①_吉田陸_久永亜美_もりようすけ_高橋ふみや,1.0,18.0,吉田陸,LF,RR,ロブ,続行,
2025-03-27_①_吉田陸_久永亜美_もりようすけ_高橋ふみや,1.0,19.0,吉田陸,LM,RF,ショートリターン,続行,
2025-03-27_①_吉田陸_久永亜美_もりようすけ_高橋ふみや,1.0,20.0,吉田陸,LF,RR,ロブ,続行,
2025-03-27_①_吉田陸_久永亜美_もりようすけ_高橋ふみや,1.0,21.0,吉田陸,LF,CR,ロングリターン,続行,
2025-03-27_①_吉田陸_久永亜美_もりようすけ_高橋ふみや,1.0,22.0,吉田陸,RM,LR,ロブ,続行,
2025-03-27_①_吉田陸_久永亜美_もりようすけ_高橋ふみや,1.0,23.0,吉田陸,LM,CR,スマッシュ,続行,
2025-03-27_①_吉田陸_久永亜美_もりようすけ_高橋ふみや,1.0,24.0,吉田陸,LM,RF,ドロップ,続行,
2025-03-27_①_吉田陸_久永亜美_もりようすけ_高橋ふみや,1.0,25.0,吉田陸,LR,CF,ドロップ,続行,
2025-03-27_①_吉田陸_久永亜美_もりようすけ_高橋ふみや,1.0,26.0,吉田陸,RR,CM,スマッシュ,得点,
2025-03-27_①_吉田陸_久永亜美_もりようすけ_高橋ふみや,1.0,27.0,吉田陸,LM,RM,スマッシュ,ミス,
2025-03-27_①_吉田陸_久永亜美_もりようすけ_高橋ふみや,1.0,28.0,吉田陸,RM,RM,ドライブ,続行,
2025-03-27_①_吉田陸_久永亜美_もりようすけ_高橋ふみや,1.0,29.0,吉田陸,CM,RF,ショートリターン,続行,
2025-03-27_①_吉田陸_久永亜美_もりようすけ_高橋ふみや,1.0,30.0,吉田陸,CF,RR,ロブ,続行,
2025-03-27_①_吉田陸_久永亜美_もりようすけ_高橋ふみや,1.0,31.0,吉田陸,LR,RM,ドロップ,続行,
2025-03-27_①_吉田陸_久永亜美_もりようすけ_高橋ふみや,1.0,32.0,吉田陸,RM,LM,スマッシュ,続行,
2025-03-27_①_吉田陸_久永亜美_もりようすけ_高橋ふみや,1.0,33.0,吉田陸,LR,RR,クリア,続行,
2025-03-27_①_吉田陸_久永亜美_もりようすけ_高橋ふみや,1.0,34.0,吉田陸,LF,RM,ショートリターン,続行,
2025-03-27_①_吉田陸_久永亜美_もりようすけ_高橋ふみや,1.0,35.0,吉田陸,LF,CR,ロブ,続行,
